,date,cases,deaths,new cases,new deaths,current active,infection rate,infection rate weekly avg,case growth
310,2020-02-25,1,0.0,,,,,,
330,2020-02-26,1,0.0,0.0,0.0,,,,0.0
350,2020-02-27,1,0.0,0.0,0.0,,,,0.0
371,2020-02-28,1,0.0,0.0,0.0,,,,0.0
393,2020-02-29,1,0.0,0.0,0.0,,,,0.0
420,2020-03-01,1,0.0,0.0,0.0,,,,0.0
452,2020-03-02,1,0.0,0.0,0.0,,,,0.0
487,2020-03-03,1,0.0,0.0,0.0,,,,0.0
525,2020-03-04,1,0.0,0.0,0.0,,,,0.0
574,2020-03-05,1,0.0,0.0,0.0,,,,0.0
644,2020-03-06,1,0.0,0.0,0.0,,,,0.0
736,2020-03-07,1,0.0,0.0,0.0,,,,0.0
848,2020-03-08,1,0.0,0.0,0.0,,,,0.0
978,2020-03-09,1,0.0,0.0,0.0,,,,0.0
1139,2020-03-10,1,0.0,0.0,0.0,,,,0.0
1336,2020-03-11,2,0.0,1.0,0.0,,,,1.0
1583,2020-03-12,4,0.0,2.0,0.0,,,,1.0
1892,2020-03-13,4,0.0,0.0,0.0,,,,0.0
2259,2020-03-14,15,0.0,11.0,0.0,,,,2.75
2685,2020-03-15,15,0.0,0.0,0.0,,,,0.0
3154,2020-03-16,20,0.0,5.0,0.0,,,,0.3333333333333333
3690,2020-03-17,23,0.0,3.0,0.0,22.0,1.9628748979528106e-05,,0.15
4322,2020-03-18,24,0.0,1.0,0.0,23.0,2.052096484223393e-05,,0.043478260869565216
5078,2020-03-19,31,0.0,7.0,0.0,30.0,2.676647588117469e-05,,0.2916666666666667
5972,2020-03-20,46,0.0,15.0,0.0,45.0,4.014971382176204e-05,,0.4838709677419355
6995,2020-03-21,60,0.0,14.0,0.0,59.0,5.264073589964356e-05,,0.30434782608695654
8125,2020-03-22,84,0.0,24.0,0.0,83.0,7.405391660458331e-05,,0.4
9345,2020-03-23,112,0.0,28.0,0.0,111.0,9.903596076034636e-05,4.754235954132457e-05,0.3333333333333333
10689,2020-03-24,127,0.0,15.0,0.0,126.0,0.0001124191987009337,6.079813807295393e-05,0.13392857142857142
12199,2020-03-25,151,0.0,24.0,0.0,150.0,0.00013383237940587346,7.698548301061673e-05,0.1889763779527559
13835,2020-03-26,181,0.0,30.0,0.0,180.0,0.00016059885528704816,9.610439435431294e-05,0.1986754966887417
15600,2020-03-27,212,0.0,31.0,0.0,211.0,0.00018825754703092866,0.00011726265624133673,0.1712707182320442
17473,2020-03-28,276,0.0,64.0,0.0,275.0,0.0002453593622441013,0.00014479388857625928,0.3018867924528302
19432,2020-03-29,324,0.0,48.0,0.0,323.0,0.00028818572365398086,0.00017538414672617318,0.17391304347826086
21495,2020-03-30,363,0.0,39.0,0.0,362.0,0.00032298214229950793,0.00020737645837462485,0.12037037037037036
23634,2020-03-31,396,0.0,33.0,0.0,395.0,0.0003524252657688001,0.00024166303938432006,0.09090909090909091
25849,2020-04-01,444,1.0,48.0,1.0,441.0,0.000393467195453268,0.0002787537273910907,0.12121212121212122
28138,2020-04-02,476,1.0,32.0,0.0,471.0,0.0004202336713344427,0.00031584441539786137,0.07207207207207207
30481,2020-04-03,541,1.0,65.0,0.0,536.0,0.00047822770241032116,0.00035726872330920316,0.13655462184873948
32879,2020-04-04,650,1.0,109.0,0.0,634.0,0.0005656648569554918,0.0004030266511251161,0.20147874306839186
35317,2020-04-05,741,1.0,91.0,0.0,725.0,0.0006468565004617217,0.0004542653335262219,0.14
37795,2020-04-06,741,1.0,0.0,0.0,720.0,0.0006423954211481926,0.0004998958019331769,0.0
40324,2020-04-07,807,1.0,66.0,0.0,783.0,0.0006986050204986594,0.000549350052608871,0.08906882591093117
42892,2020-04-08,868,7.0,61.0,6.0,837.0,0.0007467846770847739,0.0005998239785562291,0.07558859975216853
45486,2020-04-09,935,7.0,67.0,0.0,897.0,0.0008003176288471233,0.0006541216867723262,0.0771889400921659
48110,2020-04-10,1011,7.0,76.0,0.0,958.0,0.0008547427964721785,0.0007079095573525915,0.08128342245989305
50768,2020-04-11,1071,7.0,60.0,0.0,1004.0,0.0008957847261566464,0.0007550695386670421,0.05934718100890208
53443,2020-04-12,1126,7.0,55.0,0.0,1035.0,0.0009234434179005268,0.0007945819554440143,0.051353874883286646
56132,2020-04-13,1157,7.0,31.0,0.0,1038.0,0.0009261200654886443,0.0008351140474926502,0.027531083481349913
58838,2020-04-14,1187,7.0,30.0,0.0,1053.0,0.0009395033034292317,0.0008695280879113034,0.02592912705272256
